product_name,product_price,product_link,product_technical_info
iPad A16 Wifi 128GB 2025 | Chính hãng Apple Việt Nam,3.490.000đ,https://cellphones.com.vn/ipad-a16-11-inch.html,"Kích thước màn hình, 11 inches, Công nghệ màn hình, Liquid Retina, Camera sau, Camera góc rộng: 12MP, ƒ/1.8, Độ thu phóng kỹ thuật số lên đến 5x, Chụp ảnh toàn cảnh Panorama: 63MP"
iPad Air 11 inch M3 Wifi 128GB 2025 | Chính hãng Apple Việt Nam,4.400.000đ,https://cellphones.com.vn/apple-ipad-air-m3.html,"Kích thước màn hình, 11 inches, Công nghệ màn hình, Liquid Retina, Camera sau, Camera góc rộng: 12MP, ƒ/1.8, Độ thu phóng kỹ thuật số lên đến 5x, Chụp ảnh toàn cảnh Panorama: 63MP, Camera trước, Camera 12MP, ƒ/2.0, Chipset, Chip Apple M3, Dung lượng RAM, 8 GB, Bộ nhớ trong, 128 GB, Pin, Tích hợp pin sạc Li-Po 28,93 watt‑giờ, Hệ điều hành, iPadOS 18, Độ phân giải màn hình, 2360 x 1640 pixel, Tính năng màn hình, Màn hình Multi-Touch với công nghệ LED nền và IPS, Dải màu rộng (P3), True Tone, Lớp phủ kháng dầu chống in dấu vân tay, Công nghệ ép kín, Lớp phủ chống phản chiếu, Độ sáng 500 nit, Loại CPU, CPU 8 lõi với 4 lõi hiệu năng và 4 lõi tiết kiệm điện, Tương thích, Hỗ trợ Apple Pencil Pro, Hỗ trợ Apple Pencil (USB‑C), Tính năng lướt Apple Pencil"
iPad mini 7 2024 Wifi 128GB | Chính hãng Apple Việt Nam,531.000đ,https://cellphones.com.vn/ipad-mini-7.html,"Kích thước màn hình, 8.3 inches, Công nghệ màn hình, Liquid Retina, Camera sau, Camera Wide 12MP, khẩu độ ƒ/1.8, Camera trước, Camera trước Ultra Wide 12MP, Khẩu độ ƒ/2.4, Chipset, Chip A17 Pro, Bộ nhớ trong, 128 GB, Pin, Tích hợp pin sạc Li-Po 19,3 watt‑giờ, Hệ điều hành, iPadOS 18, Độ phân giải màn hình, 2266 x 1488 pixels, Tính năng màn hình, Màn hình Multi-Touch, Dải màu rộng (P3), True Tone, Lớp phủ kháng dầu chống in dấu vân tay, Công nghệ ép kín, Độ sáng 500 nit, Lớp phủ chống phản chiếu, Loại CPU, CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện, Tương thích, Hỗ trợ Apple Pencil Pro + Apple Pencil (USB‑C), Tính năng lướt của Apple Pencil"
iPad A16 Wifi 256GB 2025 | Chính hãng Apple Việt Nam,3.490.000đ,https://cellphones.com.vn/ipad-a16-11-inch-256gb.html,"Kích thước màn hình, 11 inches, Công nghệ màn hình, Liquid Retina, Camera sau, Camera góc rộng: 12MP, ƒ/1.8, Độ thu phóng kỹ thuật số lên đến 5x, Chụp ảnh toàn cảnh Panorama: 63MP, Camera trước, Camera 12MP, ƒ/2.4, Chipset, Chip A16, Bộ nhớ trong, 256 GB, Pin, Tích hợp pin sạc Li-Po 28,93 watt‑giờ, Hệ điều hành, iPadOS 18, Độ phân giải màn hình, 2360 x 1640 pixel, Tính năng màn hình, Màn hình Multi-Touch với công nghệ LED nền và IPS, True Tone, Độ sáng 500 nit, Lớp phủ kháng dầu chống in dấu vân tay, Loại CPU, CPU 5 lõi, Tương thích, Hỗ trợ Apple Pencil (USB‑C), Hỗ trợ Apple Pencil (thế hệ thứ 1)"
iPad Pro chip M5 11 inch Wifi 256GB | Chính hãng Apple Việt Nam,5.500.000đ,https://cellphones.com.vn/ipad-pro-m5-11-inch-256gb.html,"Kích thước màn hình, 11 inches, Công nghệ màn hình, Ultra Retina XDR, Camera sau, Camera 12MP Wide, Khẩu độ ƒ/1.8, Camera trước, Camera 12MP Center Stage trên cạnh ngang, Khẩu độ ƒ/2.0, Chipset, Apple M5, Công nghệ NFC, Không, Dung lượng RAM, 12 GB, Bộ nhớ trong, 256 GB, Pin, Pin sạc Li-Po 31.29 Wh, Hệ điều hành, iPadOS 26, Độ phân giải màn hình, 2420x1668 pixel, Tính năng màn hình, Công nghệ ProMotion, Độ sáng 1000nits, 264 ppi, Tần số quét 120Hz, True Tone, Lớp phủ kháng dầu chống in dấu vân tay, Công nghệ ép kín, Lớp phủ chống phản chiếu, Loại CPU, CPU 9 lõi với 3 lõi hiệu năng và 6 lõi tiết kiệm điện, Tương thích, Hỗ trợ Apple Pencil Pro, Hỗ trợ Apple Pencil (USB‑C), Tính năng lướt Apple Pencil"
iPad Air 11 inch M3 Wifi 256GB 2025 | Chính hãng Apple Việt Nam,4.400.000đ,https://cellphones.com.vn/ipad-air-m3-11-inch-256gb.html,"Kích thước màn hình, 11 inches, Công nghệ màn hình, Liquid Retina, Camera sau, Camera góc rộng: 12MP, ƒ/1.8, Độ thu phóng kỹ thuật số lên đến 5x, Chụp ảnh toàn cảnh Panorama: 63MP, Camera trước, Camera 12MP, ƒ/2.0, Chipset, Chip Apple M3, Dung lượng RAM, 8 GB, Bộ nhớ trong, 256 GB, Pin, Tích hợp pin sạc Li-Po 28,93 watt‑giờ, Hệ điều hành, iPadOS 18, Độ phân giải màn hình, 2360 x 1640 pixel, Tính năng màn hình, Màn hình Multi-Touch với công nghệ LED nền và IPS, Dải màu rộng (P3), True Tone, Lớp phủ kháng dầu chống in dấu vân tay, Công nghệ ép kín, Lớp phủ chống phản chiếu, Độ sáng 500 nit, Loại CPU, CPU 8 lõi với 4 lõi hiệu năng và 4 lõi tiết kiệm điện, Tương thích, Hỗ trợ Apple Pencil Pro, Hỗ trợ Apple Pencil (USB‑C), Tính năng lướt Apple Pencil"
iPad A16 5G 128GB 2025 | Chính hãng Apple Việt Nam,3.490.000đ,https://cellphones.com.vn/ipad-a16-11-inch-5g.html,"Kích thước màn hình, 11 inches, Công nghệ màn hình, Liquid Retina, Camera sau, Camera góc rộng: 12MP, ƒ/1.8, Độ thu phóng kỹ thuật số lên đến 5x, Chụp ảnh toàn cảnh Panorama: 63MP, Camera trước, Camera 12MP, ƒ/2.4, Chipset, Chip A16, Bộ nhớ trong, 128 GB, Pin, Tích hợp pin sạc Li-Po 28,93 watt‑giờ, Thẻ SIM, 1 eSIM, Hệ điều hành, iPadOS 18, Độ phân giải màn hình, 2360 x 1640 pixel, Tính năng màn hình, Màn hình Multi-Touch với công nghệ LED nền và IPS, True Tone, Độ sáng 500 nit, Lớp phủ kháng dầu chống in dấu vân tay, Loại CPU, CPU 5 lõi, Tương thích, Hỗ trợ Apple Pencil (USB‑C), Hỗ trợ Apple Pencil (thế hệ thứ 1)"
iPad A16 5G 256GB 2025 | Chính hãng Apple Việt Nam,3.490.000đ,https://cellphones.com.vn/ipad-a16-11-inch-256gb-5g.html,"Kích thước màn hình, 11 inches, Công nghệ màn hình, Liquid Retina, Camera sau, Camera góc rộng: 12MP, ƒ/1.8, Độ thu phóng kỹ thuật số lên đến 5x, Chụp ảnh toàn cảnh Panorama: 63MP, Camera trước, Camera 12MP, ƒ/2.4, Chipset, Chip A16, Bộ nhớ trong, 256 GB, Pin, Tích hợp pin sạc Li-Po 28,93 watt‑giờ, Thẻ SIM, 1 eSIM, Hệ điều hành, iPadOS 18, Độ phân giải màn hình, 2360 x 1640 pixel, Tính năng màn hình, Màn hình Multi-Touch với công nghệ LED nền và IPS, True Tone, Độ sáng 500 nit, Lớp phủ kháng dầu chống in dấu vân tay, Loại CPU, CPU 5 lõi, Tương thích, Hỗ trợ Apple Pencil (USB‑C), Hỗ trợ Apple Pencil (thế hệ thứ 1)"
iPad mini 7 2024 Wifi 256GB | Chính hãng Apple Việt Nam,531.000đ,https://cellphones.com.vn/ipad-mini-7-256gb.html,"Kích thước màn hình, 8.3 inches, Công nghệ màn hình, Liquid Retina, Camera sau, Camera Wide 12MP, khẩu độ ƒ/1.8, Camera trước, Camera trước Ultra Wide 12MP, Khẩu độ ƒ/2.4, Chipset, Chip A17 Pro, Bộ nhớ trong, 256 GB, Pin, Tích hợp pin sạc Li-Po 19,3 watt‑giờ, Hệ điều hành, iPadOS 18, Độ phân giải màn hình, 2266 x 1488 pixels, Tính năng màn hình, Màn hình Multi-Touch, Dải màu rộng (P3), True Tone, Lớp phủ kháng dầu chống in dấu vân tay, Công nghệ ép kín, Độ sáng 500 nit, Lớp phủ chống phản chiếu, Loại CPU, CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện, Tương thích, Hỗ trợ Apple Pencil Pro + Apple Pencil (USB‑C), Tính năng lướt của Apple Pencil"
iPad Air 11 inch M3 Wifi 512GB 2025 | Chính hãng Apple Việt Nam,4.400.000đ,https://cellphones.com.vn/ipad-air-m3-11-inch-512gb.html,"Kích thước màn hình, 11 inches, Công nghệ màn hình, Liquid Retina, Camera sau, Camera góc rộng: 12MP, ƒ/1.8, Độ thu phóng kỹ thuật số lên đến 5x, Chụp ảnh toàn cảnh Panorama: 63MP, Camera trước, Camera 12MP, ƒ/2.0, Chipset, Chip Apple M3, Dung lượng RAM, 8 GB, Bộ nhớ trong, 512 GB, Pin, Tích hợp pin sạc Li-Po 28,93 watt‑giờ, Hệ điều hành, iPadOS 18, Độ phân giải màn hình, 2360 x 1640 pixel, Tính năng màn hình, Màn hình Multi-Touch với công nghệ LED nền và IPS, Dải màu rộng (P3), True Tone, Lớp phủ kháng dầu chống in dấu vân tay, Công nghệ ép kín, Lớp phủ chống phản chiếu, Độ sáng 500 nit, Loại CPU, CPU 8 lõi với 4 lõi hiệu năng và 4 lõi tiết kiệm điện, Tương thích, Hỗ trợ Apple Pencil Pro, Hỗ trợ Apple Pencil (USB‑C), Tính năng lướt Apple Pencil"
